시도교육청,교육지원청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,1학년,2학년,3학년,특수학급,순회학급,학급수(계),학생수(계),학급당학생수,학교급,mid,high,위도,경도
경기도교육청,경기도동두천양주교육지원청,경기도 동두천시,S090001778,한빛누리중학교,3,사립,5,5,5,1,0,16,368,23,mid,1,0,37.911601,127.061403
경기도교육청,경기도동두천양주교육지원청,경기도 동두천시,S090001779,신흥중학교,3,사립,4,5,4,0,0,13,323,24.8,mid,1,0,37.93024,127.046918
경기도교육청,경기도동두천양주교육지원청,경기도 양주시,S090001780,양주백석중학교,3,공립,8,7,7,2,1,25,569,22.8,mid,1,0,37.7893333,126.9902625
경기도교육청,경기도동두천양주교육지원청,경기도 양주시,S090001781,조양중학교,3,사립,4,3,4,1,0,12,262,21.8,mid,1,0,37.8,126.9
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001873,계남중학교,3,공립,6,6,8,0,0,20,540,27,mid,1,0,37.4973074,126.7735701
경기도교육청,경기도부천교육지원청,경기도 부천시 오정구,S090001874,내동중학교,3,공립,3,2,3,2,1,11,192,17.5,mid,1,0,37.5181,126.774048
경기도교육청,경기도부천교육지원청,경기도 부천시 오정구,S090001878,덕산중학교,3,공립,10,10,11,2,0,33,835,25.3,mid,1,0,37.5285149,126.7938854
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001882,부명중학교,3,공립,7,8,7,2,0,24,610,25.4,mid,1,0,37.497949,126.7641067
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001883,부인중학교,3,공립,5,6,4,1,0,16,396,24.8,mid,1,0,37.4905212,126.748652
경기도교육청,경기도부천교육지원청,경기도 부천시 소사구,S090001884,부일중학교,3,공립,3,4,3,1,0,11,264,24,mid,1,0,37.4662376,126.7997115
경기도교육청,경기도부천교육지원청,경기도 부천시 소사구,S090001885,부천남중학교,3,공립,6,7,7,3,0,23,556,24.2,mid,1,0,37.4790851,126.771919
경기도교육청,경기도부천교육지원청,경기도 부천시 소사구,S090001886,부천동여자중학교,3,공립,3,3,4,0,0,10,235,23.5,mid,1,0,37.4805,126.808749
경기도교육청,경기도부천교육지원청,경기도 부천시 소사구,S090001887,부천동중학교,3,공립,3,3,3,0,0,9,247,27.4,mid,1,0,37.4808227,126.8101073
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001888,부천부곡중학교,3,공립,5,5,5,2,0,17,406,23.9,mid,1,0,37.4945567,126.7747979
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001889,부천부흥중학교,3,공립,5,5,5,2,0,17,381,22.4,mid,1,0,37.5053012,126.7782614
경기도교육청,경기도부천교육지원청,경기도 부천시 오정구,S090001892,부천여월중학교,3,공립,6,6,5,3,0,20,445,22.3,mid,1,0,37.5173531,126.7975558
경기도교육청,경기도부천교육지원청,경기도 부천시 소사구,S090001893,부천여자중학교,3,공립,6,6,5,0,0,17,443,26.1,mid,1,0,37.4813441,126.7604629
경기도교육청,경기도부천교육지원청,경기도 부천시 원미구,S090001894,부천중학교,3,공립,10,9,9,2,0,30,782,26.1,mid,1,0,37.4917403,126.7697628
